date,State- District,Country Code,Zon,income_median,expenditure_mean,gini,poverty
"Saturday, January 1, 2022",Sarawak-Song,SWRK,MalaysiaTimur,2926,2841,0.32162,15.8
"Saturday, January 1, 2022",Sarawak-Belaga,SWRK,MalaysiaTimur,3587,2224,0.3296,19.5
"Saturday, January 1, 2022",Sarawak-Miri,SWRK,MalaysiaTimur,6449,4333,0.34218,6.3
"Saturday, January 1, 2022",Sarawak-Marudi,SWRK,MalaysiaTimur,4234,2557,0.3613,12.9
"Saturday, January 1, 2022",Sarawak-Limbang,SWRK,MalaysiaTimur,4023,3184,0.351,14.6
"Saturday, January 1, 2022",Sarawak-Lawas,SWRK,MalaysiaTimur,3183,2934,0.40603,18.1
"Saturday, January 1, 2022",Sarawak-Matu,SWRK,MalaysiaTimur,3354,2811,0.36885,20.8
"Saturday, January 1, 2022",Sarawak-Asajaya,SWRK,MalaysiaTimur,3929,3039,0.30135,17.9
"Saturday, January 1, 2022",Sarawak-Pakan,SWRK,MalaysiaTimur,3546,3076,0.31229,17.6
"Saturday, January 1, 2022",Sarawak-Selangau,SWRK,MalaysiaTimur,3005,2798,0.39312,19.6
"Saturday, January 1, 2022",Sarawak-Tebedu,SWRK,MalaysiaTimur,2579,2397,0.31153,26.9
"Saturday, January 1, 2022",Sarawak-Pusa,SWRK,MalaysiaTimur,3124,2389,0.22517,17.2
"Saturday, January 1, 2022",Sarawak-Kabong,SWRK,MalaysiaTimur,3500,3215,0.3136,8.6
"Saturday, January 1, 2022",Sarawak-Tanjung Manis,SWRK,MalaysiaTimur,3300,2899,0.33376,20.7
"Saturday, January 1, 2022",Sarawak-Sebauh,SWRK,MalaysiaTimur,4428,2660,0.30347,4.8
"Saturday, January 1, 2022",Sarawak-Bukit Mabong,SWRK,MalaysiaTimur,2948,2853,0.29711,8.2
"Saturday, January 1, 2022",Sarawak-Subis,SWRK,MalaysiaTimur,5194,2756,0.34086,4.7
"Saturday, January 1, 2022",Sarawak-Beluru,SWRK,MalaysiaTimur,4164,2386,0.30156,13.7
"Saturday, January 1, 2022",Sarawak-Telang Usan,SWRK,MalaysiaTimur,3870,2578,0.31077,6
"Saturday, January 1, 2022",W.P-Kuala Lumpur,KUL,Tengah,10234,7823,0.3796,1.4
"Saturday, January 1, 2022",W.P-Labuan,LBN,Tengah,6904,4176,0.30028,2.5
"Saturday, January 1, 2022",W.P-Putrajaya,PJY,Tengah,10056,8897,0.3678,0.1
